real_image,generated_before,generated_after,label,SSIM_before,SSIM_after,SSIM_Diff
48502_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.08227577844866914,0.5058798417731293,0.42360406332446016
25331_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.13953199845871844,0.4141701454304896,0.27463814697177114
23523_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.12930102097907548,0.3642749650266272,0.23497394404755173
4797_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.16427163607719034,0.39453820638682197,0.23026657030963163
39872_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.2325778742472914,0.2390760909619721,0.006498216714680705
56993_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.13631567949385257,0.37904520216903514,0.24272952267518258
14312_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.14566708973787698,0.3642011113534183,0.21853402161554134
31297_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.17370788102547383,0.3251766630041803,0.15146878197870647
56799_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.1741806339345674,0.3507309130984077,0.1765502791638403
48550_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.1425813868330835,0.3407836489908835,0.19820226215779999
46815_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.14656389506182735,0.3526898176463121,0.20612592258448473
44530_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.1577571401220473,0.3805088672220939,0.22275172710004662
65094_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.16453656264660457,0.22791513872109995,0.06337857607449537
37307_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.1433431182799668,0.26560172695334766,0.12225860867338087
37190_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.13176328164097476,0.40075699075673504,0.26899370911576026
51893_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.12873139527842717,0.4458631497970707,0.3171317545186435
30868_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.09214125223293411,0.4665470860390612,0.3744058338061271
21445_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.18668612669375087,0.25740167903000094,0.07071555233625007
3997_thumbnail.png,MC_combined_3.png,MC_combined_20.png,MC,0.1480343925979564,0.404993271786032,0.2569588791880756
2227_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.12132358105491574,0.40997021426179225,0.2886466332068765
9254_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.17954617594092723,0.30249595916234323,0.122949783221416
6582_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.12918369926715598,0.41681135144276094,0.28762765217560493
39208_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.10801546107267763,0.4476777711475481,0.33966231007487047
14532_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.15262091880885467,0.36929986514179775,0.21667894633294307
34508_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.1306525205511986,0.404192844461767,0.2735403239105684
30986_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.1659301805317497,0.35942804030465164,0.19349785977290193
56351_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.14292465224113202,0.4033945467685098,0.2604698945273778
42260_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.13264447507898558,0.27328275623948567,0.1406382811605001
62476_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.10801968053839343,0.4924811919389178,0.38446151140052437
3084_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.14638218313607768,0.4149907401748807,0.26860855703880304
28562_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.09935774035553951,0.40058989902139586,0.30123215866585634
38019_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.13238272491372619,0.4637566023526362,0.33137387743891
56117_thumbnail.png,MC_combined_4.png,MC_combined_27.png,MC,0.17524175605132866,0.25172130906810614,0.07647955301677747
